Country,LateForSchool,SkipWholeDay,SkipClass,Score,Books
Albania,.55,.21,.27,18.07,42.51
United Arab Emirates,.59,.61,.40,22.91,95.35
Argentina,1.08,1.08,.75,18.82,64.54
Australia,.73,.53,.25,30.16,151.47
Austria,.37,.10,.16,30.53,144.37
Belgium,.47,.09,.13,31.66,130.51
Bulgaria,1.27,.46,.61,24.10,101.62
Brazil,.62,.31,.28,17.00,39.64
Canada,.78,.31,.36,31.44,143.80
Switzerland,.42,.08,.15,31.36,125.43
Chile,1.01,.10,.20,24.75,82.65
Colombia,.56,.05,.19,18.11,42.76
Costa Rica,1.19,.49,.71,20.05,39.61
Czech Republic,.45,.10,.10,32.59,156.50
Germany,.33,.07,.11,31.58,139.11
Denmark,.84,.17,.25,28.19,115.57
Spain,.68,.33,.49,29.85,164.56
Estonia,.79,.25,.51,33.49,154.64
Finland,.90,.16,.25,31.22,136.22
France,.54,.16,.25,30.24,124.48
United Kingdom,.60,.31,.21,29.90,127.22
Greece,1.20,.38,.80,25.50,124.56
Hong Kong-China,.21,.05,.04,36.26,91.47
Croatia,.57,.25,.40,27.54,74.20
Hungary,.39,.10,.12,29.09,184.11
Indonesia,.42,.17,.34,15.97,55.02
Ireland,.48,.06,.19,31.65,137.32
Iceland,.57,.04,.17,28.05,174.39
Israel,1.07,.45,.50,26.95,146.03
Italy,.58,.63,.48,29.55,135.33
Jordan,.74,.63,.46,17.41,67.75
Japan,.13,.02,.05,35.06,145.56
Kazakhstan,.43,.29,.25,20.78,82.24
Korea,.50,.04,.05,35.96,199.94
Liechtenstein,.26,.05,.09,33.92,152.27
Lithuania,.83,.28,.50,28.14,106.11
Luxembourg,.53,.13,.12,28.81,189.02
Latvia,1.23,.34,1.17,29.99,135.15
Macao-China,.38,.06,.08,33.62,63.03
Mexico,.62,.25,.28,20.60,39.08
Montenegro,.70,.44,.49,19.23,110.29
Malaysia,.65,.46,.39,19.82,91.73
Netherlands,.55,.05,.16,31.98,118.91
Norway,.53,.11,.18,29.25,161.27
New Zealand,.82,.30,.25,31.24,149.84
Peru,1.00,.22,.16,15.58,43.53
Poland,.90,.24,.33,32.85,130.15
Portugal,1.05,.34,.46,28.26,98.90
Qatar,.79,.27,.34,16.70,106.59
China-Shanghai,.28,.01,.05,41.49,100.27
Perm(Russian Federation),1.31,.37,.66,28.12,125.01
Florida (USA),.58,.39,.26,27.26,83.52
Connecticut (USA),.50,.21,.17,31.42,137.39
Massachusetts (USA),.41,.24,.13,31.80,125.40
Romania,.92,.61,.76,23.35,93.22
Russian Federation,1.04,.40,.53,27.82,130.32
Singapore,.33,.21,.18,36.77,112.08
Serbia,.79,.21,.40,23.84,84.99
Slovak Republic,.45,.15,.17,27.57,103.05
Slovenia,.78,.30,.46,27.84,94.88
Sweden,1.20,.11,.32,27.86,154.34
Chinese Taipei,.46,.09,.17,35.17,134.37
Thailand,.62,.28,.36,23.79,71.50
Tunisia,.93,.34,.38,17.74,38.14
Turkey,.85,1.16,.90,25.16,72.50
Uruguay,1.26,.39,.37,20.09,56.36
United States of America,.54,.29,.20,28.83,102.72
Vietnam,.22,.12,.09,32.62,52.36
